Country,Year,Female Baby Death Rate,Latitude,Longitude
Switzerland,1971,0.011965,46.7985624,8.2319736
West Germany,1971,0.020166,40.4203479,-79.1166983
Norway,1971,0.009998,61.1529386,8.7876653
Australia,1971,0.015943,-24.7761086,134.755
Scotland,1971,0.017719,56.7861112,-4.1140518
Lithuania,1971,0.013011,55.3500003,23.7499997
New Zealand -- Maori,1971,0.025206,-41.2086794,174.8683301
Spain,1971,0.023223,39.3260685,-4.8379791
Northern Ireland,1971,0.020913,54.5859836,-6.9591554
Iceland,1971,0.012463,64.9841821,-18.1059013
Austria,1971,0.022058,47.59397,14.12456
Russia,1971,0.017579,64.6863136,97.7453061
New Zealand,1971,0.015677,-41.5000831,172.8344077
England and Wales,1971,0.015223,51.5742454,-2.6999204
Taiwan,1971,0.014034,23.9739374,120.9820179
Hungary,1971,0.03206,47.1817585,19.5060937
France,1971,0.015196,46.603354,1.8883335
Netherlands,1971,0.009706,52.2434979,5.6343227
Ukraine,1971,0.013364,49.4871968,31.2718321
New Zealand -- Non-Maori,1971,0.014258,,
Luxembourg,1971,0.019484,49.8158683,6.1296751
Denmark,1971,0.011884,55.670249,10.3333283
The United States of America,1971,0.01662,35.4202289,-78.0254279
East Germany,1971,0.015583,43.0439394,-87.9081981
Latvia,1971,0.013048,56.8406494,24.7537645
Japan,1971,0.011271,36.5748441,139.2394179
Sweden,1971,0.009828,59.6749712,14.5208584
England and Wales,1971,0.015223,51.5742454,-2.6999204
Finland,1971,0.010653,63.2467777,25.9209164
Czechia,1971,0.017228,49.7439047,15.3381061
Italy,1971,0.026155,42.6384261,12.674297
Bulgaria,1971,0.022166,42.6073975,25.4856617
Estonia,1971,0.015382,58.7523778,25.3319078
Slovakia,1971,0.020963,48.7411522,19.4528646
Ireland,1971,0.016069,52.865196,-7.9794599
France,1971,0.015196,46.603354,1.8883335
Canada,1971,0.015008,61.0666922,-107.991707
Portugal,1965,0.06064,39.6621648,-8.1353519
Belarus,1965,0.01936,53.4250605,27.6971358
United Kingdom,1965,0.017278,54.7023545,-3.2765753
Poland,1965,0.036521,52.215933,19.134422
Belgium,1965,0.02107,50.6402809,4.6667145
Switzerland,1965,0.015854,46.7985624,8.2319736
West Germany,1965,0.021136,40.4203479,-79.1166983
Norway,1965,0.014142,61.1529386,8.7876653
Australia,1965,0.016497,-24.7761086,134.755
Scotland,1965,0.020984,56.7861112,-4.1140518
Lithuania,1965,0.021943,55.3500003,23.7499997
New Zealand -- Maori,1965,0.022684,-41.2086794,174.8683301
Spain,1965,0.033229,39.3260685,-4.8379791
Northern Ireland,1965,0.02286,54.5859836,-6.9591554
Iceland,1965,0.01532,64.9841821,-18.1059013
Austria,1965,0.025463,47.59397,14.12456
Russia,1965,0.023343,64.6863136,97.7453061
New Zealand,1965,0.016159,-41.5000831,172.8344077
England and Wales,1965,0.016633,51.5742454,-2.6999204
Hungary,1965,0.035232,47.1817585,19.5060937
France,1965,0.019216,46.603354,1.8883335
Netherlands,1965,0.012333,52.2434979,5.6343227
Ukraine,1965,0.017116,49.4871968,31.2718321
New Zealand -- Non-Maori,1965,0.015196,,
Luxembourg,1965,0.019147,49.8158683,6.1296751
Denmark,1965,0.015806,55.670249,10.3333283
The United States of America,1965,0.021288,35.4202289,-78.0254279
East Germany,1965,0.021565,43.0439394,-87.9081981
Latvia,1965,0.014758,56.8406494,24.7537645
Japan,1965,0.017223,36.5748441,139.2394179
Sweden,1965,0.011931,59.6749712,14.5208584
England and Wales,1965,0.016633,51.5742454,-2.6999204
Finland,1965,0.014887,63.2467777,25.9209164
Czechia,1965,0.01996,49.7439047,15.3381061
Italy,1965,0.03213,42.6384261,12.674297
Bulgaria,1965,0.026525,42.6073975,25.4856617
Estonia,1965,0.016714,58.7523778,25.3319078
Slovakia,1965,0.026088,48.7411522,19.4528646
Ireland,1965,0.021975,52.865196,-7.9794599
France,1965,0.019216,46.603354,1.8883335
Canada,1965,0.020273,61.0666922,-107.991707
Portugal,1964,0.068239,39.6621648,-8.1353519
Belarus,1964,0.021157,53.4250605,27.6971358
United Kingdom,1964,0.018646,54.7023545,-3.2765753
Poland,1964,0.042046,52.215933,19.134422
Belgium,1964,0.022537,50.6402809,4.6667145
Switzerland,1964,0.016856,46.7985624,8.2319736
West Germany,1964,0.022756,40.4203479,-79.1166983
Norway,1964,0.014738,61.1529386,8.7876653
Australia,1964,0.016848,-24.7761086,134.755
Scotland,1964,0.022051,56.7861112,-4.1140518
Lithuania,1964,0.025638,55.3500003,23.7499997
New Zealand -- Maori,1964,0.024435,-41.2086794,174.8683301
